path	baseline_path	kind	classification	cmake_selection	current_sha256	baseline_sha256	canonical_current_sha256	canonical_baseline_sha256	disposition
src/core/softpc/base/ccpu386/lsl.h	base/ccpu386/lsl.h	source-or-header	identical-original	not-directly-selected	76bcb8ff17b677daa6874830fa4d36d98b5ae678920c6f000cf7e30b234d60f0	76bcb8ff17b677daa6874830fa4d36d98b5ae678920c6f000cf7e30b234d60f0	cd7475f97321eef302530f1d059d41e165a3d3f3bea645c1f9d265d772c90dfd	cd7475f97321eef302530f1d059d41e165a3d3f3bea645c1f9d265d772c90dfd	retain-pristine
src/core/softpc/base/ccpu386/ltr.c	base/ccpu386/ltr.c	source-or-header	identical-original	ccpu-manifest	1bd1f793db2cfd4066a896d5e8cf87d4abed2327f86cc4f24536a1ea3d80d955	1bd1f793db2cfd4066a896d5e8cf87d4abed2327f86cc4f24536a1ea3d80d955	b6d20ab4c9f3624b66b6458c0733e0481344726a5e579babd3f5a8dcf7dfe1a4	b6d20ab4c9f3624b66b6458c0733e0481344726a5e579babd3f5a8dcf7dfe1a4	retain-pristine
src/core/softpc/base/ccpu386/ltr.h	base/ccpu386/ltr.h	source-or-header	identical-original	not-directly-selected	bb5598207e74d426c09c67466470cb69802ad47b4511c1750b2b9d04c6c25639	bb5598207e74d426c09c67466470cb69802ad47b4511c1750b2b9d04c6c25639	2d4aac9ca6d392c694596df9d6a2a6d54cd49bc6f162eb83592271099de42508	2d4aac9ca6d392c694596df9d6a2a6d54cd49bc6f162eb83592271099de42508	retain-pristine
src/core/softpc/base/ccpu386/lxs.c	base/ccpu386/lxs.c	source-or-header	identical-original	ccpu-manifest	5e2aab7a7bed12022ba136337f8ce289ba3155f2df7d1ad2c42ca8cd065ccfef	5e2aab7a7bed12022ba136337f8ce289ba3155f2df7d1ad2c42ca8cd065ccfef	2d98892ea76ac718b4d7e64e0184619fc70796d4cba2ae6e59616812aa4db6b2	2d98892ea76ac718b4d7e64e0184619fc70796d4cba2ae6e59616812aa4db6b2	retain-pristine
src/core/softpc/base/ccpu386/lxs.h	base/ccpu386/lxs.h	source-or-header	identical-original	not-directly-selected	096f334e8c89d226b85003249ed126c22d8f8da39cc8eac650338756b0a93c56	096f334e8c89d226b85003249ed126c22d8f8da39cc8eac650338756b0a93c56	84fe611832631f320d1fab5f796f2612223acfaa01e156abb0e93aed94c0b394	84fe611832631f320d1fab5f796f2612223acfaa01e156abb0e93aed94c0b394	retain-pristine
src/core/softpc/base/ccpu386/makefile	base/ccpu386/makefile	source-or-header	identical-original	not-directly-selected	26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459	26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459	c2bb9c1032d59215b0fd01949e38d746a3d41d978f9dc727b3b20ac847ea64c2	c2bb9c1032d59215b0fd01949e38d746a3d41d978f9dc727b3b20ac847ea64c2	retain-pristine
src/core/softpc/base/ccpu386/mov.c	base/ccpu386/mov.c	source-or-header	identical-original	ccpu-manifest	d274ed1ad9f8114f8c7ff0c0d6d57f08116d70fd8e6b26f0d0051b70ba9f8348	d274ed1ad9f8114f8c7ff0c0d6d57f08116d70fd8e6b26f0d0051b70ba9f8348	e69f2d6618a4ecc17f858b296c66e4979ba5b27eb6cdddab3fbb4a2e81596a5d	e69f2d6618a4ecc17f858b296c66e4979ba5b27eb6cdddab3fbb4a2e81596a5d	retain-pristine
src/core/softpc/base/ccpu386/mov.h	base/ccpu386/mov.h	source-or-header	identical-original	not-directly-selected	2dff74e2cf449eb21e1c7ac0cf10158ee5dbc0002c27a68745c25dd8c1a5724e	2dff74e2cf449eb21e1c7ac0cf10158ee5dbc0002c27a68745c25dd8c1a5724e	95130e48141873d513c528dc178a9e3ffe6b6898f1dc15558740e17ee2a3f875	95130e48141873d513c528dc178a9e3ffe6b6898f1dc15558740e17ee2a3f875	retain-pristine
src/core/softpc/base/ccpu386/movsx.c	base/ccpu386/movsx.c	source-or-header	identical-original	ccpu-manifest	e2ecca248d027dbf4854a1181e123b317ca992456011fa8bc37a1fae5ada866c	e2ecca248d027dbf4854a1181e123b317ca992456011fa8bc37a1fae5ada866c	0e2b124f9c39b05ca2488a4632b713f80b755378895a6ffbe87c65161c3cecae	0e2b124f9c39b05ca2488a4632b713f80b755378895a6ffbe87c65161c3cecae	retain-pristine
src/core/softpc/base/ccpu386/movsx.h	base/ccpu386/movsx.h	source-or-header	identical-original	not-directly-selected	69173a0af633f90d946f949b9326bd6ee168b7c41d0a18ed5a007c414d632f40	69173a0af633f90d946f949b9326bd6ee168b7c41d0a18ed5a007c414d632f40	236a2f4a21eed6b6c96ae7cc3c3b6eef1cbfab89ba6ffd9c964214299a5765c7	236a2f4a21eed6b6c96ae7cc3c3b6eef1cbfab89ba6ffd9c964214299a5765c7	retain-pristine
src/core/softpc/base/ccpu386/mul.c	base/ccpu386/mul.c	source-or-header	identical-original	ccpu-manifest	5e7f349937d7302ae969bbb3fbd994cc93c23c1b4838e5243e7cd242ce384973	5e7f349937d7302ae969bbb3fbd994cc93c23c1b4838e5243e7cd242ce384973	9e56c7bafad1a6cf4a30133934d8db9973c753009300a7e7d5eb2c72c6ee681b	9e56c7bafad1a6cf4a30133934d8db9973c753009300a7e7d5eb2c72c6ee681b	retain-pristine
src/core/softpc/base/ccpu386/mul.h	base/ccpu386/mul.h	source-or-header	identical-original	not-directly-selected	68aa19fbfb2ad18d08d73abc77f44135e8e2184b48788271d485a28af11b6f9d	68aa19fbfb2ad18d08d73abc77f44135e8e2184b48788271d485a28af11b6f9d	f1b0d1e2436caa359b7605106e6f7027d647d99096cc7c736e33b247836e89a9	f1b0d1e2436caa359b7605106e6f7027d647d99096cc7c736e33b247836e89a9	retain-pristine
